"","id","masa.muestra","balanza.muestra","volumen.aforo","volumen.alicuota","clase.pipeta","clase.bureta","Temperatura.calcinado","balanza.calcinado","volumen.EDTA","masas.finales","replica"
"1","101d",1.2015,"ME204",0.05,5,"A","A",NA,NA,8.16,NA,1
"2","102d",1.1986,"ME204",0.05,5,"A","A",NA,NA,8.32,NA,1
"3","103d",1.201,"ME204",0.05,5,"A","A",NA,NA,8.17,NA,1
"4","104d",1.1997,"ME204",0.05,5,"A","A",NA,NA,8.3,NA,1
"5","105d",1.1992,"ME204",0.05,5,"A","A",NA,NA,8.36,NA,1
"6","106d",1.1982,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.0666,1
"7","107d",1.1992,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.0646,1
"8","108d",1.1997,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.0631,1
"9","109d",1.1981,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.0536,1
"10","110d",1.1996,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.0706,1
"11","111d",1.2005,"ME204",0.1,10,"B","B",NA,NA,8.34,NA,1
"12","112d",1.1987,"ME204",0.1,10,"B","B",NA,NA,8.24,NA,1
"13","113d",1.2,"ME204",0.1,10,"B","B",NA,NA,8.2,NA,1
"14","114d",1.1987,"ME204",0.1,10,"B","B",NA,NA,8.16,NA,1
"15","115d",1.1999,"ME204",0.1,10,"B","B",NA,NA,8.25,NA,1
"16","116d",1.2009,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.0493,1
"17","117d",1.1978,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.0452,1
"18","118d",1.2023,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.0485,1
"19","119d",1.1988,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.0508,1
"20","120d",1.2009,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.0419,1
"21","121d",3.0021,"ME204",0.25,10,"A","A",NA,NA,8.23,NA,1
"22","122d",2.9991,"ME204",0.25,10,"A","A",NA,NA,8.26,NA,1
"23","123d",2.9993,"ME204",0.25,10,"A","A",NA,NA,8.2,NA,1
"24","124d",3.001,"ME204",0.25,10,"A","A",NA,NA,8.3,NA,1
"25","125d",2.9992,"ME204",0.25,10,"A","A",NA,NA,8.3,NA,1
"26","126d",2.999,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.0313,1
"27","127d",3.0016,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.029,1
"28","128d",3.0018,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.0338,1
"29","129d",2.9998,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.0327,1
"30","130d",3.0023,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.0251,1
"31","101d",1.2019,"ME204",0.05,5,"A","A",NA,NA,8.31,NA,2
"32","102d",1.1999,"ME204",0.05,5,"A","A",NA,NA,8.53,NA,2
"33","103d",1.1992,"ME204",0.05,5,"A","A",NA,NA,8.28,NA,2
"34","104d",1.1993,"ME204",0.05,5,"A","A",NA,NA,8.37,NA,2
"35","105d",1.2014,"ME204",0.05,5,"A","A",NA,NA,8.46,NA,2
"36","106d",1.2005,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.0666,2
"37","107d",1.2006,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.0645,2
"38","108d",1.2,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.0631,2
"39","109d",1.2002,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.0537,2
"40","110d",1.1995,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.0708,2
"41","111d",1.2011,"ME204",0.1,10,"B","B",NA,NA,8.36,NA,2
"42","112d",1.1997,"ME204",0.1,10,"B","B",NA,NA,8.35,NA,2
"43","113d",1.202,"ME204",0.1,10,"B","B",NA,NA,8.28,NA,2
"44","114d",1.2006,"ME204",0.1,10,"B","B",NA,NA,8.28,NA,2
"45","115d",1.201,"ME204",0.1,10,"B","B",NA,NA,8.34,NA,2
"46","116d",1.2015,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.0494,2
"47","117d",1.2,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.045,2
"48","118d",1.1982,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.0486,2
"49","119d",1.1994,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.0509,2
"50","120d",1.2006,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.042,2
"51","121d",3.0012,"ME204",0.25,10,"A","A",NA,NA,8.26,NA,2
"52","122d",3.0002,"ME204",0.25,10,"A","A",NA,NA,8.36,NA,2
"53","123d",3.0008,"ME204",0.25,10,"A","A",NA,NA,8.23,NA,2
"54","124d",3.0009,"ME204",0.25,10,"A","A",NA,NA,8.44,NA,2
"55","125d",3.001,"ME204",0.25,10,"A","A",NA,NA,8.31,NA,2
"56","126d",3.0007,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.0312,2
"57","127d",2.9998,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.0291,2
"58","128d",3.001,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.0339,2
"59","129d",2.9995,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.0328,2
"60","130d",3.0003,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.0251,2
"61","101d",1.1995,"ME204",0.05,5,"A","A",NA,NA,8.25,NA,3
"62","102d",1.2005,"ME204",0.05,5,"A","A",NA,NA,8.44,NA,3
"63","103d",1.2005,"ME204",0.05,5,"A","A",NA,NA,8.19,NA,3
"64","104d",1.1999,"ME204",0.05,5,"A","A",NA,NA,8.47,NA,3
"65","105d",1.2,"ME204",0.05,5,"A","A",NA,NA,8.42,NA,3
"66","106d",1.2004,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.0667,3
"67","107d",1.1989,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.0646,3
"68","108d",1.201,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.0631,3
"69","109d",1.2003,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.0537,3
"70","110d",1.2005,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.0707,3
"71","111d",1.1998,"ME204",0.1,10,"B","B",NA,NA,8.41,NA,3
"72","112d",1.1981,"ME204",0.1,10,"B","B",NA,NA,8.35,NA,3
"73","113d",1.2007,"ME204",0.1,10,"B","B",NA,NA,8.28,NA,3
"74","114d",1.1997,"ME204",0.1,10,"B","B",NA,NA,8.21,NA,3
"75","115d",1.2006,"ME204",0.1,10,"B","B",NA,NA,8.37,NA,3
"76","116d",1.202,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.049,3
"77","117d",1.1988,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.0452,3
"78","118d",1.2014,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.0484,3
"79","119d",1.1996,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.0509,3
"80","120d",1.1999,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.0419,3
"81","121d",2.9995,"ME204",0.25,10,"A","A",NA,NA,8.3,NA,3
"82","122d",2.9995,"ME204",0.25,10,"A","A",NA,NA,8.39,NA,3
"83","123d",2.9988,"ME204",0.25,10,"A","A",NA,NA,8.27,NA,3
"84","124d",3.0001,"ME204",0.25,10,"A","A",NA,NA,8.35,NA,3
"85","125d",3.0005,"ME204",0.25,10,"A","A",NA,NA,8.4,NA,3
"86","126d",2.9998,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.0314,3
"87","127d",2.9984,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.029,3
"88","128d",2.9996,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.0338,3
"89","129d",3.0004,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.0327,3
"90","130d",2.9993,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.0251,3
