"","id","masa.muestra","balanza.muestra","volumen.aforo","volumen.alicuota","clase.pipeta","clase.bureta","Temperatura.calcinado","balanza.calcinado","volumen.EDTA","masas.finales","replica"
"1","101d",1.1995,"ME204",0.05,5,"A","A",NA,NA,10.14,NA,1
"2","102d",1.2004,"ME204",0.05,5,"A","A",NA,NA,10.07,NA,1
"3","103d",1.2004,"ME204",0.05,5,"A","A",NA,NA,10.15,NA,1
"4","104d",1.2007,"ME204",0.05,5,"A","A",NA,NA,10.19,NA,1
"5","105d",1.1991,"ME204",0.05,5,"A","A",NA,NA,10.03,NA,1
"6","106d",1.1999,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.0766,1
"7","107d",1.2016,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.0702,1
"8","108d",1.1995,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.0803,1
"9","109d",1.1996,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.0796,1
"10","110d",1.2006,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.0778,1
"11","111d",1.1994,"ME204",0.1,10,"B","B",NA,NA,10.05,NA,1
"12","112d",1.2011,"ME204",0.1,10,"B","B",NA,NA,9.98,NA,1
"13","113d",1.2004,"ME204",0.1,10,"B","B",NA,NA,10.03,NA,1
"14","114d",1.2001,"ME204",0.1,10,"B","B",NA,NA,10.06,NA,1
"15","115d",1.1984,"ME204",0.1,10,"B","B",NA,NA,10.11,NA,1
"16","116d",1.1997,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.0556,1
"17","117d",1.202,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.0566,1
"18","118d",1.1997,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.0608,1
"19","119d",1.2007,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.066,1
"20","120d",1.1991,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.059,1
"21","121d",2.9984,"ME204",0.25,10,"A","A",NA,NA,10.24,NA,1
